State,Population 2010,Population 2011,Population 2012,Population 2013,Population 2014,Population 2015,Population 2016,Population 2017,Population 2018,Population 2019
California,37319502,37638369,37948800,38260787,38596972,38918045,39167117,39358497,39461588,39512223
Texas,25241971,25645629,26084481,26480266,26964333,27470056,27914410,28295273,28628666,28995881
